Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr,Holding Yrs
12.638,1.11,3.8,3.33,1.08,1.04,0.348699999999999,G,1Q,1,1
11.109,0.800000000000001,4.2,2.64,0.87,0.98,0.3264,G,1Q,1,1
12.963,2.28,6.54,1.98,0.75,1.02,0.7339,G,1Q,1,1
9.629,2.03,5.9,1.63,0.76,1.03,-0.0700000000000003,G,1Q,1,1
17.194,1.54,5.52,3.11,0.96,0.97,0.154399999999999,G,1Q,1,1
8.097,1.2,2.67,3.03,0.35,1.13,0.5115,G,1Q,1,1
1.901,4.23,6.51,0.29,-0.21,1.3,-4.7842,G,1Q,1,1
0.0509999999999984,4.5,6.72,0.01,-0.65,1.35,-4.1706,G,1Q,1,1
4.559,2.67,4.54,1.0,-0.04,1.24,-3.456,G,1Q,1,1
14.188,5.98,7.11,2.0,-0.55,2.0,-1.9724,G,1Q,1,1
12.721,4.5,5.54,2.3,0.14,1.64,-2.1124,G,1Q,1,1
1.658,3.17,4.72,0.35,-0.26,1.37,-2.6119,G,1Q,1,1
5.347,1.97,3.88,1.38,0.12,1.17,-1.6926,G,1Q,1,1
0.376000000000001,2.23,3.54,0.11,-0.37,1.26,-3.3617,G,1Q,1,1
12.155,6.77,8.8,1.38,0.1,1.67,-4.2957,G,1Q,1,1
8.085,5.82,7.94,1.02,-0.07,1.55,-3.5794,G,1Q,1,1
-3.083,2.48,6.28,-0.49,-0.17,0.97,-2.44,G,1Q,1,1
-8.363,1.99,7.74,-1.08,-0.37,0.82,-3.5149,G,1Q,1,1
-3.497,1.72,6.03,-0.58,-0.12,0.97,-2.1157,G,1Q,1,1
5.596,3.8,4.94,1.13,0.21,1.31,-3.9435,G,1Q,1,1
6.762,4.0,4.66,1.45,0.34,1.36,-4.285,G,1Q,1,1
5.219,0.33,3.36,1.55,0.54,0.98,1.9332,G,1Q,1,1
-1.588,3.86,7.42,-0.21,-0.12,1.18,-6.0713,G,1Q,1,1
4.459,-0.790000000000001,7.56,0.59,0.74,0.82,-1.2769,G,1Q,1,1
0.799,1.86,6.11,0.13,0.1,1.04,-3.3039,G,1Q,1,1
1.618,3.71,5.11,0.32,0.06,1.2,-4.107,G,1Q,1,1
1.735,0.349999999999998,7.93,0.22,0.52,0.92,-1.7363,G,1Q,1,1
16.485,1.59,7.09,2.33,1.32,1.03,-1.864,G,1Q,1,1
25.229,5.11,7.36,3.43,1.32,1.17,-2.4686,G,1Q,1,1
20.13,11.85,14.41,1.4,1.04,1.39,-6.1215,G,1Q,1,1
10.938,7.62,10.35,1.06,0.09,1.27,-7.7924,G,1Q,1,1
8.209,1.86,6.2,1.32,0.55,1.05,-2.57510000000001,G,1Q,1,1
4.739,1.2,5.82,0.81,0.15,1.02,-1.2667,G,1Q,1,1
12.467,0.43,5.7,2.19,0.89,0.99,0.243499999999997,G,1Q,1,1
