Date,Group,Portfolio Return,Peak,Drawdown
2/29/2020,Nifty 50,191.74,208.29,-0.08
3/31/2020,Nifty 50,147.17,208.29,-0.29
4/30/2020,Nifty 50,168.77,208.29,-0.19
5/31/2020,Nifty 50,163.99,208.29,-0.21
6/30/2020,Nifty 50,176.34,208.29,-0.15
7/31/2020,Nifty 50,189.55,208.29,-0.09
8/31/2020,Nifty 50,194.92,208.29,-0.06
9/30/2020,Nifty 50,192.53,208.29,-0.08
10/31/2020,Nifty 50,199.28,208.29,-0.04
11/30/2020,Nifty 50,221.99,221.99,0.00
12/31/2020,Nifty 50,239.33,239.33,0.00
1/31/2021,Nifty 50,233.39,239.33,-0.02
2/28/2021,Nifty 50,248.70,248.70,0.00
3/31/2021,Nifty 50,251.46,251.46,0.00
4/30/2021,Nifty 50,250.44,251.46,0.00
5/31/2021,Nifty 50,266.73,266.73,0.00
6/30/2021,Nifty 50,269.11,269.11,0.00
7/31/2021,Nifty 50,269.82,269.82,0.00
8/31/2021,Nifty 50,293.26,293.26,0.00
9/30/2021,Nifty 50,301.57,301.57,0.00
10/31/2021,Nifty 50,302.49,302.49,0.00
11/30/2021,Nifty 50,290.71,302.49,-0.04
12/31/2021,Nifty 50,294.48,302.49,-0.03
1/31/2022,Nifty 50,289.85,302.49,-0.04
2/28/2022,Nifty 50,280.73,302.49,-0.07
3/31/2022,Nifty 50,291.94,302.49,-0.03
4/30/2022,Nifty 50,293.99,302.49,-0.03
5/31/2022,Nifty 50,285.09,302.49,-0.06
6/30/2022,Nifty 50,271.26,302.49,-0.10
7/31/2022,Nifty 50,294.95,302.49,-0.02
8/31/2022,Nifty 50,305.28,305.28,0.00
9/30/2022,Nifty 50,293.85,305.28,-0.04
10/31/2022,Nifty 50,309.63,309.63,0.00
11/30/2022,Nifty 50,322.45,322.45,0.00
12/31/2022,Nifty 50,312.91,322.45,-0.03
1/31/2023,Nifty 50,303.61,322.45,-0.06
2/28/2023,Nifty 50,297.45,322.45,-0.08
3/31/2023,Nifty 50,298.41,322.45,-0.07
4/30/2023,Nifty 50,310.54,322.45,-0.04
5/31/2023,Nifty 50,318.60,322.45,-0.01
6/30/2023,Nifty 50,338.43,338.43,0.00
7/31/2023,Nifty 50,348.39,348.39,0.00
8/31/2023,Nifty 50,339.57,348.39,-0.03
9/30/2023,Nifty 50,346.36,348.39,-0.01
10/31/2023,Nifty 50,336.50,348.39,-0.03
11/30/2023,Nifty 50,354.44,354.44,0.00
12/31/2023,Nifty 50,383.27,383.27,0.00
1/31/2024,Nifty 50,383.17,383.27,0.00
2/29/2024,Nifty 50,403.59,403.59,0.00
3/31/2011,S&P BSE 500,100.00,100.00,0.00
4/30/2011,S&P BSE 500,98.53,100.00,-0.01
5/31/2011,S&P BSE 500,95.97,100.00,-0.04
6/30/2011,S&P BSE 500,96.38,100.00,-0.04
7/31/2011,S&P BSE 500,94.34,100.00,-0.06
8/31/2011,S&P BSE 500,86.06,100.00,-0.14
9/29/2011,S&P BSE 500,84.71,100.00,-0.15
10/31/2011,S&P BSE 500,89.72,100.00,-0.10
11/30/2011,S&P BSE 500,81.15,100.00,-0.19
12/31/2011,S&P BSE 500,76.66,100.00,-0.23
1/31/2012,S&P BSE 500,86.88,100.00,-0.13
2/29/2012,S&P BSE 500,90.97,100.00,-0.09
3/31/2012,S&P BSE 500,89.67,100.00,-0.10
4/30/2012,S&P BSE 500,88.86,100.00,-0.11
5/31/2012,S&P BSE 500,83.31,100.00,-0.17
6/30/2012,S&P BSE 500,88.65,100.00,-0.11
7/31/2012,S&P BSE 500,87.63,100.00,-0.12
8/31/2012,S&P BSE 500,87.99,100.00,-0.12
9/30/2012,S&P BSE 500,95.60,100.00,-0.04
10/31/2012,S&P BSE 500,94.44,100.00,-0.06
11/30/2012,S&P BSE 500,99.13,100.00,-0.01
12/31/2012,S&P BSE 500,100.58,100.58,0.00
1/31/2013,S&P BSE 500,101.70,101.70,0.00
2/28/2013,S&P BSE 500,95.04,101.70,-0.07
3/31/2013,S&P BSE 500,93.99,101.70,-0.08
4/30/2013,S&P BSE 500,97.97,101.70,-0.04
5/31/2013,S&P BSE 500,98.73,101.70,-0.03
6/30/2013,S&P BSE 500,95.04,101.70,-0.07
